Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(5.0,)","(5.0,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(1.6191487384910372,)","(1.6191487384910372,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(5.307699251450391,)","(5.307699251450391,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(2.6076180771563027,)","(2.6076180771563027,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(7.6884555542985815,)","(7.6884555542985815,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.6848389666040635,)","(4.6848389666040635,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(-1.0421191921438724,)",3.0,4.042119192143872,4.0421191921438719,4.042119192143872,4.042119192143872,4.042119192143872,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(7.386017402999267,)","(7.386017402999267,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(1.0207179006996736,)","(1.0207179006996736,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(8.120776611017007,)",8.0,0.12077661101700699,0.12077661101700699,0.12077661101700699,0.12077661101700699,0.12077661101700699,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.004596460208448,)","(4.004596460208448,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(7.882686633786975,)","(7.882686633786975,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.7834060956530076,)","(3.7834060956530076,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(6.6656037941564055,)","(6.6656037941564055,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(6.18750370413013,)","(6.18750370413013,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(0.57915594023494,)",1.4000000000000001,0.8208440597650601,0.82084405976506014,0.8208440597650601,0.8208440597650601,0.8208440597650601,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.14619099702087,)","(3.14619099702087,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(2.361006488604966,)","(2.361006488604966,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.461007130725578,)","(4.461007130725578,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(8.828585222494652,)",8.0,0.8285852224946524,0.82858522249465238,0.8285852224946524,0.8285852224946524,0.8285852224946524,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.279129321239358,)","(3.279129321239358,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(-0.5651932693950005,)",2.5,3.0651932693950004,3.0651932693950004,3.0651932693950004,3.0651932693950004,3.0651932693950004,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(6.439884134241325,)","(6.439884134241325,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(0.1917725502359886,)",1.8,1.6082274497640114,1.6082274497640114,1.6082274497640114,1.6082274497640114,1.6082274497640114,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(-0.16132907361597804,)",2.1,2.261329073615978,2.2613290736159781,2.261329073615978,2.261329073615978,2.261329073615978,1,2,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.7954190928970375,)","(4.7954190928970375,)",0.0,0.0,0.0,0.0,0.0,1,2,random,0
