Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 3.0, 2.5)","(4.0, 2.5, 3.0)","(3.0, 6.0, 3.5)","(2.0, 4.5, 4.0)","(2.5, 3.5, 2.0)","(1.0, 3.0, 2.5)",NA,NA,"(5.0, 4.5, 2.5)","(5.0, 4.5, 2.5)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(1.286680541684002, 3.586680541684002, 2.686680541684002)","(4.286680541684002, 3.086680541684002, 3.186680541684002)","(3.286680541684002, 6.586680541684002, 3.686680541684002)","(2.286680541684002, 5.086680541684002, 4.186680541684002)","(2.786680541684002, 4.086680541684002, 2.186680541684002)","(1.286680541684002, 3.586680541684002, 2.686680541684002)",NA,NA,"(4.919123862953493, 4.719123862953492, 2.4191238629534926)","(4.919123862953493, 4.719123862953492, 2.4191238629534926)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(1.39091917593846, 3.99091917593846, 2.6909191759384603)","(4.3909191759384605, 3.49091917593846, 3.1909191759384603)","(3.3909191759384605, 6.99091917593846, 3.6909191759384603)","(2.3909191759384605, 5.49091917593846, 4.190919175938459)","(2.8909191759384605, 4.49091917593846, 2.1909191759384603)","(1.39091917593846, 3.99091917593846, 2.6909191759384603)",NA,NA,"(5.038341297272514, 5.138341297272514, 2.5383412972725137)","(5.038341297272514, 5.138341297272514, 2.5383412972725137)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(1.4605627930577336, 4.360562793057733, 2.660562793057734)","(4.4605627930577345, 3.8605627930577335, 3.160562793057734)","(3.460562793057734, 7.360562793057734, 3.660562793057734)","(2.460562793057734, 5.860562793057734, 4.160562793057733)","(2.960562793057734, 4.860562793057734, 2.160562793057734)","(1.4605627930577336, 4.360562793057733, 2.660562793057734)",NA,NA,"(4.873432344101324, 5.273432344101323, 2.3734323441013236)","(4.873432344101324, 5.273432344101323, 2.3734323441013236)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(1.4173019580947008, 4.6173019580947, 2.517301958094701)","(4.4173019580947015, 4.117301958094701, 3.017301958094701)","(3.4173019580947015, 7.617301958094701, 3.517301958094701)","(2.4173019580947015, 6.117301958094701, 4.0173019580947)","(2.9173019580947015, 5.117301958094701, 2.017301958094701)","(1.4173019580947008, 4.6173019580947, 2.517301958094701)",NA,NA,"(4.9751409231583485, 5.675140923158347, 2.475140923158348)","(4.9751409231583485, 5.675140923158347, 2.475140923158348)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(1.409139390502042, 4.909139390502041, 2.4091393905020424)","(4.409139390502043, 4.409139390502042, 2.9091393905020424)","(3.409139390502043, 7.909139390502042, 3.4091393905020424)","(2.409139390502043, 6.409139390502042, 3.9091393905020415)","(2.909139390502043, 5.409139390502042, 1.9091393905020424)","(1.409139390502042, 4.909139390502041, 2.4091393905020424)",NA,NA,"(5.1450199574040045, 6.145019957404003, 2.6450199574040045)","(5.1450199574040045, 6.145019957404003, 2.6450199574040045)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(1.5124181916021122, 5.312418191602111, 2.4124181916021126)","(4.512418191602113, 4.812418191602112, 2.9124181916021126)","(3.512418191602113, 8.312418191602113, 3.4124181916021126)","(2.512418191602113, 6.812418191602112, 3.9124181916021117)","(3.012418191602113, 5.812418191602112, 1.9124181916021128)","(1.5124181916021122, 5.312418191602111, 2.4124181916021126)",NA,NA,"(5.820182687672694, 7.120182687672692, 3.320182687672694)","(5.820182687672694, 7.120182687672692, 3.320182687672694)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(1.8545401930784027, 5.954540193078402, 2.654540193078403)","(4.854540193078404, 5.454540193078403, 3.154540193078403)","(3.8545401930784036, 8.954540193078403, 3.654540193078403)","(2.8545401930784036, 7.454540193078403, 4.154540193078402)","(3.3545401930784036, 6.454540193078403, 2.1545401930784034)","(1.8545401930784027, 5.954540193078402, 2.654540193078403)",NA,NA,"(6.210923885324021, 7.810923885324019, 3.7109238853240214)","(6.210923885324021, 7.810923885324019, 3.7109238853240214)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(2.015781076009084, 6.415781076009083, 2.715781076009084)","(5.015781076009086, 5.915781076009084, 3.215781076009084)","(4.015781076009085, 9.415781076009084, 3.715781076009084)","(3.015781076009085, 7.915781076009084, 4.215781076009083)","(3.515781076009085, 6.915781076009084, 2.2157810760090846)","(2.015781076009084, 6.415781076009083, 2.715781076009084)",NA,NA,"(6.58065185014047, 8.480651850140468, 4.08065185014047)","(6.58065185014047, 8.480651850140468, 4.08065185014047)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(2.1925631585929453, 6.892563158592945, 2.7925631585929453)","(5.1925631585929475, 6.392563158592946, 3.2925631585929453)","(4.192563158592946, 9.892563158592946, 3.7925631585929453)","(3.192563158592946, 8.392563158592946, 4.2925631585929445)","(3.692563158592946, 7.392563158592946, 2.292563158592946)","(2.1925631585929453, 6.892563158592945, 2.7925631585929453)",NA,NA,"(7.0060102755736215, 9.20601027557362, 4.5060102755736215)","(7.0060102755736215, 9.20601027557362, 4.5060102755736215)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(2.176647162839407, 7.176647162839406, 2.676647162839407)","(5.176647162839409, 6.676647162839407, 3.176647162839407)","(4.176647162839407, 10.176647162839407, 3.676647162839407)","(3.1766471628394077, 8.676647162839407, 4.176647162839405)","(3.6766471628394077, 7.676647162839407, 2.1766471628394073)","(2.176647162839407, 7.176647162839406, 2.676647162839407)",NA,NA,"(7.303026117428415, 9.803026117428413, 4.803026117428415)","(7.303026117428415, 9.803026117428413, 4.803026117428415)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(2.570715916164007, 7.870715916164006, 2.970715916164007)","(5.5707159161640085, 7.370715916164007, 3.470715916164007)","(4.570715916164007, 10.870715916164007, 3.970715916164007)","(3.570715916164008, 9.370715916164007, 4.470715916164004)","(4.070715916164008, 8.370715916164006, 2.4707159161640075)","(2.570715916164007, 7.870715916164006, 2.970715916164007)",NA,NA,"(7.3753452316741495, 10.175345231674147, 4.8753452316741495)","(7.3753452316741495, 10.175345231674147, 4.8753452316741495)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(2.582316434721838, 8.182316434721837, 2.882316434721838)","(5.5823164347218395, 7.682316434721837, 3.382316434721838)","(4.582316434721838, 11.182316434721837, 3.882316434721838)","(3.582316434721839, 9.682316434721837, 4.382316434721835)","(4.082316434721839, 8.682316434721836, 2.3823164347218384)","(2.582316434721838, 8.182316434721837, 2.882316434721838)",NA,NA,"(7.436108360882668, 10.536108360882665, 4.936108360882668)","(7.436108360882668, 10.536108360882665, 4.936108360882668)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(2.978418601182747, 8.878418601182746, 3.178418601182747)","(5.9784186011827485, 8.378418601182746, 3.678418601182747)","(4.978418601182747, 11.878418601182746, 4.178418601182747)","(3.978418601182748, 10.378418601182746, 4.678418601182743)","(4.478418601182748, 9.378418601182744, 2.6784186011827473)","(2.978418601182747, 8.878418601182746, 3.178418601182747)",NA,NA,"(7.759184145533614, 11.15918414553361, 5.259184145533614)","(7.759184145533614, 11.15918414553361, 5.259184145533614)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(3.0003460663074897, 9.200346066307489, 3.1003460663074893)","(6.000346066307491, 8.700346066307489, 3.6003460663074893)","(5.000346066307489, 12.200346066307489, 4.100346066307488)","(4.000346066307491, 10.700346066307489, 4.600346066307485)","(4.50034606630749, 9.700346066307487, 2.6003460663074898)","(3.0003460663074897, 9.200346066307489, 3.1003460663074893)",NA,NA,"(8.18160661863382, 11.881606618633816, 5.681606618633821)","(8.18160661863382, 11.881606618633816, 5.681606618633821)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(3.377454721798122, 9.877454721798122, 3.3774547217981215)","(6.377454721798123, 9.377454721798122, 3.8774547217981215)","(5.377454721798121, 12.877454721798122, 4.37745472179812)","(4.377454721798123, 11.377454721798122, 4.877454721798117)","(4.877454721798122, 10.37745472179812, 2.877454721798122)","(3.377454721798122, 9.877454721798122, 3.3774547217981215)",NA,NA,"(8.396547853170109, 12.396547853170105, 5.8965478531701105)","(8.396547853170109, 12.396547853170105, 5.8965478531701105)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(3.5118446384568776, 10.311844638456877, 3.411844638456877)","(6.511844638456878, 9.811844638456877, 3.911844638456877)","(5.511844638456877, 13.311844638456877, 4.411844638456875)","(4.511844638456878, 11.811844638456877, 4.911844638456872)","(5.0118446384568776, 10.811844638456876, 2.9118446384568775)","(3.5118446384568776, 10.311844638456877, 3.411844638456877)",NA,NA,"(8.487765933843697, 12.787765933843694, 5.987765933843699)","(8.487765933843697, 12.787765933843694, 5.987765933843699)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(3.585779739075249, 10.68577973907525, 3.3857797390752484)","(6.5857797390752495, 10.18577973907525, 3.8857797390752484)","(5.585779739075248, 13.68577973907525, 4.385779739075246)","(4.5857797390752495, 12.18577973907525, 4.885779739075242)","(5.085779739075249, 11.185779739075247, 2.885779739075249)","(3.585779739075249, 10.68577973907525, 3.3857797390752484)",NA,NA,"(8.61556159329196, 13.215561593291957, 6.115561593291961)","(8.61556159329196, 13.215561593291957, 6.115561593291961)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(3.975023096541373, 11.375023096541373, 3.675023096541372)","(6.975023096541373, 10.875023096541373, 4.175023096541372)","(5.9750230965413715, 14.375023096541373, 4.675023096541369)","(4.975023096541373, 12.875023096541373, 5.1750230965413655)","(5.475023096541372, 11.875023096541371, 3.1750230965413726)","(3.975023096541373, 11.375023096541373, 3.675023096541372)",NA,NA,"(8.721478935740016, 13.621478935740015, 6.221478935740019)","(8.721478935740016, 13.621478935740015, 6.221478935740019)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(3.924151006222547, 11.624151006222547, 3.5241510062225463)","(6.924151006222547, 11.124151006222547, 4.024151006222546)","(5.924151006222545, 14.624151006222547, 4.524151006222542)","(4.924151006222547, 13.124151006222547, 5.024151006222539)","(5.424151006222546, 12.124151006222545, 3.0241510062225467)","(3.924151006222547, 11.624151006222547, 3.5241510062225463)",NA,NA,"(9.058729435894474, 14.258729435894473, 6.558729435894477)","(9.058729435894474, 14.258729435894473, 6.558729435894477)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(3.9956166148452703, 11.99561661484527, 3.4956166148452694)","(6.99561661484527, 11.49561661484527, 3.995616614845269)","(5.995616614845268, 14.99561661484527, 4.4956166148452645)","(4.99561661484527, 13.49561661484527, 4.995616614845261)","(5.495616614845269, 12.495616614845268, 2.99561661484527)","(3.9956166148452703, 11.99561661484527, 3.4956166148452694)",NA,NA,"(9.2590899992938, 14.7590899992938, 6.759089999293804)","(9.2590899992938, 14.7590899992938, 6.759089999293804)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(4.030730121992124, 12.330730121992124, 3.430730121992123)","(7.030730121992123, 11.830730121992124, 3.9307301219921227)","(6.030730121992121, 15.330730121992124, 4.430730121992117)","(5.030730121992123, 13.830730121992124, 4.930730121992114)","(5.530730121992122, 12.830730121992122, 2.9307301219921236)","(4.030730121992124, 12.330730121992124, 3.430730121992123)",NA,NA,"(9.533220678677587, 15.333220678677588, 7.033220678677592)","(9.533220678677587, 15.333220678677588, 7.033220678677592)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(4.140568084631849, 12.74056808463185, 3.4405680846318485)","(7.140568084631848, 12.24056808463185, 3.940568084631848)","(6.1405680846318464, 15.74056808463185, 4.440568084631842)","(5.140568084631848, 14.24056808463185, 4.940568084631838)","(5.640568084631847, 13.240568084631848, 2.940568084631849)","(4.140568084631849, 12.74056808463185, 3.4405680846318485)",NA,NA,"(9.771580546562694, 15.871580546562695, 7.2715805465627)","(10.0, 10.0, 0.0)",9.348984822248411,13.371580546562701,0.22841945343730607,5.871580546562695,7.2715805465627,3,1,4,0
"(4.585551200574982, 13.485551200574983, 3.7855512005749814)","(7.585551200574981, 12.985551200574983, 4.2855512005749805)","(6.5855512005749794, 16.48555120057498, 4.785551200574974)","(5.585551200574981, 14.985551200574983, 5.285551200574971)","(6.08555120057498, 13.985551200574982, 3.285551200574982)","(4.585551200574982, 13.485551200574983, 3.7855512005749814)",NA,NA,"(9.95533036810081, 10.255330368100811, -0.04466963189918852)","(9.95533036810081, 10.255330368100811, -0.04466963189918852)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
"(4.850564372843859, 14.05056437284386, 3.950564372843858)","(7.850564372843858, 13.55056437284386, 4.450564372843857)","(6.8505643728438566, 17.05056437284386, 4.950564372843851)","(5.850564372843858, 15.55056437284386, 5.450564372843847)","(6.350564372843857, 14.550564372843859, 3.4505643728438584)","(4.850564372843859, 14.05056437284386, 3.950564372843858)",NA,NA,"(10.142627901663088, 10.74262790166309, 0.1426279016630904)","(10.142627901663088, 10.74262790166309, 0.1426279016630904)",0.0,0.0,0.0,0.0,0.0,3,1,4,0
