Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(5.0, 4.5)","(4.0, 2.5)",2.23606797749979,3.0,1.0,2.0,2.23606797749979,2,1,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(3.431427204266808, 3.527847750622449)","(3.2, 2.9000000000000004)",0.6691422485812859,0.85927495488925665,0.23142720426680796,0.6278477506224487,0.6691422485812859,2,1,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(8.868365239792778, 8.36589601346989)","(4.0, 2.5)",7.622972920643529,10.734261253262668,4.868365239792778,5.865896013469889,7.622972920643529,2,1,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(9.16823324546339, 3.3144930984768646)","(4.0, 2.5)",5.232020057968002,5.9827263439402554,5.168233245463391,0.8144930984768646,5.232020057968002,2,1,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(-0.8497603112655447, -0.6003911573822027)","(4.0, 2.5)",5.756092459776878,7.9501514686477472,4.849760311265545,3.1003911573822025,5.756092459776878,2,1,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(2.8522492659573153, 8.366274621753936)","(4.0, 2.5)",5.977500287355059,7.0140253557966208,1.1477507340426847,5.866274621753936,5.977500287355059,2,1,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(6.036573569379277, -0.24885425376954662)","(4.0, 2.5)",3.421086320448693,4.7854278231488232,2.036573569379277,2.7488542537695464,3.421086320448693,2,1,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(6.782465336958037, 3.234292184676889)","(4.0, 2.5)",2.87772451145876,3.5167575216349256,2.7824653369580368,0.7342921846768888,2.87772451145876,2,1,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(1.2118804844854696, 4.578621694324313)","(2.5, 2.5)",2.445387501882895,3.3667412098388434,1.2881195155145304,2.0786216943243128,2.445387501882895,2,1,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(8.432871267962012, 4.65581506890029)","(4.0, 2.5)",4.929288619022089,6.5886863368623025,4.432871267962012,2.1558150689002904,4.929288619022089,2,1,random,0
